Date,Company,Title,Salary,Skills,Meta_Info,Link
2026-05-10T17:27:10+03:00,Not specified,Старший инженер OpenStack,Not specified,,Not specified,https://career.habr.com/vacancies/1000163093
2026-05-10T17:27:05+03:00,Not specified,NLP-разработчик в Алису,Not specified,,Not specified,https://career.habr.com/vacancies/1000166117
2026-05-10T17:27:05+03:00,Not specified,Главный инженер по качеству (QA-инженер),Not specified,,Not specified,https://career.habr.com/vacancies/1000165585
2026-05-10T16:56:38+03:00,Not specified,Инженер сопровождения облачной платформы,Not specified,,Not specified,https://career.habr.com/vacancies/1000163092
2026-05-10T16:54:04+03:00,Not specified,Ведущий инженер SDS,Not specified,,Not specified,https://career.habr.com/vacancies/1000163091
2026-05-10T16:48:10+03:00,Not specified,Golang developer в Департамент Логистики,Not specified,,Not specified,https://career.habr.com/vacancies/1000164745
2026-05-10T16:46:20+03:00,Not specified,Application Security Architecture Team (Кибербезопасность),Not specified,,Not specified,https://career.habr.com/vacancies/1000161288
2026-05-10T16:38:53+03:00,Not specified,Старший Go/PHP-разработчик в команду Cообществ,Not specified,,Not specified,https://career.habr.com/vacancies/1000165374
2026-05-10T16:37:52+03:00,Not specified,Go Platform Engineer,Not specified,,Not specified,https://career.habr.com/vacancies/1000165373
2026-05-10T16:29:42+03:00,Not specified,Ведущий инженер по ИБ,Not specified,,Not specified,https://career.habr.com/vacancies/1000160370
2026-05-10T16:27:11+03:00,Not specified,Product owner,Not specified,,Not specified,https://career.habr.com/vacancies/1000162813
2026-05-10T16:27:07+03:00,Not specified,Руководитель направления эксплуатации сервисов мониторинга SOC,Not specified,,Not specified,https://career.habr.com/vacancies/1000165253
2026-05-10T16:27:02+03:00,Not specified,Менеджер AI проектов,Not specified,,Not specified,https://career.habr.com/vacancies/1000166108
2026-05-10T15:59:08+03:00,Not specified,Технический архитектор 1С,Not specified,,Not specified,https://career.habr.com/vacancies/1000164483
2026-05-10T15:55:36+03:00,Not specified,Инженер технической поддержки в г. Краснодар,Not specified,,Not specified,https://career.habr.com/vacancies/1000165252
2026-05-10T15:51:39+03:00,Not specified,"Дежурный инженер ИТ- поддержки (ЦОД, сервера, сеть, инженерное оборудование)",Not specified,,Not specified,https://career.habr.com/vacancies/1000156377
2026-05-10T15:49:22+03:00,Not specified,Архитектор по информационной безопасности,Not specified,,Not specified,https://career.habr.com/vacancies/1000162811
2026-05-10T15:48:13+03:00,Not specified,IT Бизнес-аналитик,Not specified,,Not specified,https://career.habr.com/vacancies/1000164588
2026-05-10T15:47:04+03:00,Not specified,Главный специалист управления уязвимостями (SOC VM),Not specified,,Not specified,https://career.habr.com/vacancies/1000164486
