Title,Company,Salary,Region,Link
Вакансии,Поиск вакансий в Иннополисе,Работа в Иннополисе,Россия,https://www.superjob.ru/vakansii/
Инженер-программист,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://kazan.superjob.ru/vakansii/inzhener-programmist-51809011.html
Руководитель проекта,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://kazan.superjob.ru/vakansii/rukovoditel-proekta-51130401.html
Инженер-программист,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://kazan.superjob.ru/vakansii/inzhener-programmist-51823898.html
"Программист C++, Phyton по контракту",Не указана,По договоренности,Россия,https://www.superjob.ruhttps://kazan.superjob.ru/vakansii/programmist-c-51870247.html
Системный администратор ЦОД,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://ufa.superjob.ru/vakansii/sistemnyj-administrator-cod-51698092.html
Администратор баз данных (DBA) PostgreSQL,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://ufa.superjob.ru/vakansii/administrator-baz-dannyh-51878000.html
Системный администратор Linux,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://ufa.superjob.ru/vakansii/sistemnyj-administrator-linux-51877985.html
Руководитель направления корпоративных рейтинговых моделей,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://ufa.superjob.ru/vakansii/rukovoditel-napravleniya-korporativnyh-rejtingovyh-modelej-51901931.html
Администратор баз данных (DBA) MSSQL,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://ufa.superjob.ru/vakansii/administrator-baz-dannyh-51877987.html
Программист АСУТП,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://tambov.superjob.ru/vakansii/programmist-asutp-51780741.html
"Программист C++, Phyton по контракту",Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/programmist-c-51870248.html
Python Developer (Middle/Senior),Не указана,По договоренности,Россия,https://www.superjob.ruhttps://sovhoz-imeni-lenina.superjob.ru/vakansii/python-developer-51954509.html
QA,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://sovhoz-imeni-lenina.superjob.ru/vakansii/qa-51834254.html
Младший менеджер проектов,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/mladshij-menedzher-proektov-51690993.html
Стажер инженер доступности,Не указана,Стажер инженер доступности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/stazher-inzhener-dostupnosti-51886635.html
Техник по техническому обслуживанию (обслуживание вещательного оборудования),Не указана,Техник по техническому обслуживанию (обслуживание вещательного оборудования),Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/tehnik-po-tehnicheskomu-obsluzhivaniyu-51905385.html
Стажер в отдел продуктовой разработки,Не указана,Стажер в отдел продуктовой разработки,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/stazher-v-otdel-produktovoj-razrabotki-51905379.html
Стажер DATA SCIENTIST,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/stazher-data-scientist-51692814.html
Стажер-специалист по искусственному интеллекту,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/stazher-specialist-po-iskusstvennomu-intellektu-51865215.html
Специалист по тестированию,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/specialist-po-testirovaniyu-51668541.html
Стажер направления Генеративный ИИ,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/stazher-napravleniya-generativnyj-ii-51919034.html
Специалист по качеству данных,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/specialist-po-kachestvu-dannyh-51921967.html
Начальник отдела разработки (IT),Не указана,Начальник отдела разработки (IT),Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/nachalnik-otdela-razrabotki-51824478.html
Стажер отдела операционной деятельности цифровых медиа,Не указана,Стажер отдела операционной деятельности цифровых медиа,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/stazher-otdela-operacionnoj-deyatelnosti-cifrovyh-media-51782497.html
Data Scientist,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/data-scientist-51904968.html
Стажер системный инженер (BigData),Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/stazher-sistemnyj-inzhener-51760926.html
Аналитик по продуктам,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/analitik-po-produktam-51720162.html
Программист,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/programmist-50596529.html
Инженер по искусственному интеллекту,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/inzhener-po-iskusstvennomu-intellektu-51824510.html
Стажер по машинному обучению,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/stazher-po-mashinnomu-obucheniyu-51742361.html
Аналитик антифрода L3,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/analitik-antifroda-l3-51921374.html
Системный инженер,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/sistemnyj-inzhener-51056436.html
Стажёр-разработчик программного обеспечения,Не указана,Стажёр-разработчик программного обеспечения,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/stazhjor-razrabotchik-programmnogo-obespecheniya-51826679.html
Аналитик баз данных,Не указана,По договоренности,Россия,https://www.superjob.ruhttps://www.superjob.ru/vakansii/analitik-baz-dannyh-51908009.html
