source,title,company,location,salary_min,salary_max,salary_mid,salary_text,skills,specialty,published_at,url
remoteok,Senior Full stack React Developer,Lemon.io,Unknown,50000.0,210000.0,105000.0,50000 – 210000,"javascript, react, node, python, golang, full time, full stack, dev, engineer, senior",Full Stack,,https://remoteOK.com/remote-jobs/remote-senior-full-stack-react-developer-lemon-io-1131339
remoteok,Data Engineer,Pivotal Health,Los Angeles,160000.0,180000.0,194900.0,160000 – 180000,"design, salesforce, python, technical, support, software, analyst, devops, cloud, postgresql, analytics, medical, health, healthcare, engineer, engineering, digital nomad",Data Engineer,,https://remoteOK.com/remote-jobs/remote-data-engineer-pivotal-health-1131305
remoteok,Data Scientist,Junction,Unknown,180000.0,220000.0,100000.0,180000 – 220000,"python, technical, cloud, management, lead, analytics, health, healthcare, engineering",Data Science / ML,,https://remoteOK.com/remote-jobs/remote-data-scientist-junction-1131265
remoteok,Software Engineer Identity & Access,Patreon,Unknown,189000.0,255500.0,90000.0,189000 – 255500,"software, security, python, support, testing, growth, code, senior, reliability, engineer, engineering",DevOps / SRE,,https://remoteOK.com/remote-jobs/remote-software-engineer-identity-access-patreon-1131240
remoteok,Biology AI Training Expert,Anyone AI,Amsterdam,0.0,40.0,125000.0,to 40,"training, python, technical, biology",Data Science / ML,,https://remoteOK.com/remote-jobs/remote-biology-ai-training-expert-anyone-ai-1130953
remoteok,Data Analyst,World Golf Tour (WGT),San Francisco,75000.0,125000.0,125000.0,75000 – 125000,"analyst, security, python, game, technical, support, software, leader, excel, analytics",Data Analyst / BI,,https://remoteOK.com/remote-jobs/remote-data-analyst-world-golf-tour-wgt-1130952
remoteok,Security Engineer II Canada,NerdWallet,Unknown,123000.0,188000.0,125000.0,123000 – 188000,"security, design, python, support, developer, software, test, web, javascript, financial, cloud, operational, healthcare, engineer, engineering, digital nomad",Security,,https://remoteOK.com/remote-jobs/remote-security-engineer-ii-canada-nerdwallet-1130860
remoteok,Senior Python Software Engineer,Bloomreach,Slovakia,4000.0,0.0,85000.0,from 4000,"python, software, test, growth, financial, cloud, senior, analytics, engineer, engineering, backend",QA / Testing,,https://remoteOK.com/remote-jobs/remote-senior-python-software-engineer-bloomreach-1130047
remoteok,Senior Software Engineer Backend,Cresta,Toronto,100000.0,150000.0,80000.0,100000 – 150000,"software, design, python, technical, voice, senior, golang, engineer, engineering, backend, digital nomad",Backend,,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-backend-cresta-1129520
remoteok,Data Engineer,Sayari,Remote - US,60000.0,80000.0,37000.0,60000 – 80000,"python, software, code, financial, investment, scala, engineer, engineering",Data Engineer,,https://remoteOK.com/remote-jobs/remote-data-engineer-sayari-1129302
